A,B,C,label
811,264,1004,F4
406,1082,1260,F3
882,407,912,F4
1036,1275,1875,F1
413,304,132,N8
318,403,255,N8
1204,236,905,F4
1056,309,400,F5
197,540,209,F6
166,116,1361,F7
314,288,116,N8
855,355,1159,F4
808,412,280,F5
1181,421,1267,F4
1355,325,989,F4
131,1371,227,F6
639,368,237,F5
1045,127,879,F4
143,1022,1400,F3
402,176,321,N8
308,155,233,N8
378,1347,322,F6
994,337,1148,F4
177,1282,464,F3
892,1815,1133,F1
375,667,786,F3
688,1070,345,F2
560,311,310,F5
121,1374,161,F6
1666,1028,217,F2
1086,152,915,F4
404,281,162,N8
124,1374,137,F6
121,776,1374,F3
417,947,359,F6
1898,1206,1729,F1
189,1017,362,F6
1096,256,204,F5
840,416,1019,F4
1374,467,315,F2
1531,1491,183,F2
1079,127,405,F5
395,844,1166,F3
202,154,1512,F7
505,896,213,F2
447,358,176,N8
251,143,1468,F7
368,264,143,N8
265,538,798,F3
1499,427,395,F5
1386,445,450,F4
1096,242,1135,F4
1025,208,187,F5
1285,384,370,F5
1388,168,1035,F4
563,392,298,F5
1347,1287,117,F2
595,1388,689,F1
328,420,674,F7
249,220,1141,F7
1455,229,153,F5
1210,203,466,F4
201,752,144,F6
355,283,236,N8
1000,1524,387,F2
1189,215,1212,F4
969,1311,635,F1
197,750,431,F6
412,1213,1384,F3
660,130,326,F5
169,1037,1155,F3
111,238,401,N8
409,1066,138,F6
996,437,111,F5
1470,1275,284,F2
444,682,820,F3
290,1004,403,F6
445,248,1409,F7
360,1224,558,F3
1393,321,447,F5
321,186,285,N8
153,363,207,N8
261,251,433,N8
369,572,553,F3
690,327,602,F4
417,128,1316,F7
320,1238,329,F6
127,817,463,F3
1460,829,331,F2
249,1247,218,F6
590,241,328,F5
261,1133,976,F3
429,431,331,N8
303,188,252,N8
1136,1715,614,F1
118,819,571,F3
102,122,319,N8
1222,222,124,F5
576,1524,246,F2
889,1589,150,F2
338,1244,185,F6
123,424,576,F7
1104,899,191,F2
152,261,126,N8
439,482,150,F6
1315,1074,1120,F1
163,108,1477,F7
294,1036,444,F6
226,234,163,N8
682,333,197,F5
1334,1052,123,F2
276,793,377,F6
861,181,556,F4
285,1096,530,F3
353,1308,1289,F3
199,470,1237,F3
397,432,172,N8
311,975,104,F6
242,377,1597,F7
563,1686,519,F1
905,104,153,F5
1024,360,919,F4
636,231,708,F4
680,273,458,F4
363,348,223,N8
130,513,437,F6
304,1253,190,F6
139,325,1311,F7
965,430,314,F5
1389,107,556,F4
1060,304,334,F5
397,314,892,F7
298,1152,595,F3
439,312,374,N8
357,358,988,F7
615,1453,1484,F1
1708,987,634,F1
331,891,210,F6
1199,1091,189,F2
302,121,285,N8
1116,313,343,F5
1414,1400,217,F2
436,416,819,F7
1360,238,639,F4
736,291,306,F5
600,1090,187,F2
214,266,994,F7
596,902,1305,F1
686,689,168,F2
106,362,165,N8
697,914,351,F2
930,264,425,F5
325,1304,1293,F3
1309,564,542,F1
167,503,929,F3
732,119,244,F5
754,1063,267,F2
782,474,1566,F1
151,390,214,N8
173,1275,780,F3
275,110,1604,F7
108,105,928,F7
205,877,331,F6
285,184,292,N8
432,143,1566,F7
1385,361,642,F4
410,313,1158,F7
478,299,290,F5
244,240,191,N8
334,142,158,N8
538,393,514,F4
995,396,343,F5
716,1791,1163,F1
1047,281,1390,F4
288,1338,166,F6
295,114,352,N8
170,741,237,F6
1295,261,652,F4
1128,1678,428,F2
673,215,390,F5
447,444,200,N8
285,431,1218,F7
1054,397,100,F5
521,430,979,F4
201,1073,764,F3
155,314,1591,F7
414,322,294,N8
997,319,122,F5
1200,1361,217,F2
237,201,1555,F7
770,311,162,F5
304,1106,253,F6
788,1455,1130,F1
145,420,514,F7
419,445,472,F7
152,1152,537,F3
912,381,191,F5
403,485,806,F3
1573,1187,332,F2
1255,839,1206,F1
1691,450,1691,F1
383,1241,248,F6
1275,1047,241,F2
520,440,1381,F4
186,1000,285,F6
299,138,522,F7
909,1068,266,F2
1209,337,509,F4
1148,1501,155,F2
315,387,448,N8
1046,1047,272,F2
393,145,428,N8
717,167,801,F4
1082,1699,1703,F1
306,1202,1132,F3
172,212,366,N8
167,1066,1043,F3
302,1291,302,F6
1006,315,1166,F4
134,242,278,N8
428,1190,386,F6
355,420,477,F7
326,977,1292,F3
266,839,494,F3
400,770,817,F3
744,275,1121,F4
212,1019,1398,F3
773,1089,425,F2
589,1590,419,F2
876,223,210,F5
174,997,612,F3
996,410,1315,F4
337,439,370,N8
338,205,386,N8
697,136,933,F4
399,126,959,F7
371,1327,894,F3
339,225,1553,F7
346,826,1221,F3
444,732,368,F6
1057,287,383,F5
399,1121,322,F6
374,248,1015,F7
258,172,196,N8
286,385,188,N8
1156,1334,2000,F1
311,659,750,F3
1090,272,266,F5
900,177,411,F5
422,1131,743,F3
238,442,714,F7
102,229,1115,F7
264,507,290,F6
445,156,347,N8
1395,247,1138,F4
331,175,122,N8
250,149,198,N8
1104,283,764,F4
1127,1057,1935,F1
212,834,566,F3
1236,363,1363,F4
1769,777,1022,F1
1327,1152,110,F2
1562,829,1179,F1
974,419,585,F4
679,391,206,F5
273,708,226,F6
163,124,294,N8
416,1159,860,F3
260,396,376,N8
272,215,491,F7
111,225,428,N8
490,175,210,F5
393,1289,1364,F3
145,1070,140,F6
1327,442,469,F4
1330,213,949,F4
953,179,296,F5
329,1055,1082,F3
308,254,361,N8
1390,1549,332,F2
998,262,169,F5
1907,1243,508,F1
417,974,772,F3
837,1681,773,F1
1191,1632,189,F2
1263,106,720,F4
1000,325,1091,F4
809,368,270,F5
1189,361,223,F5
197,544,397,F6
926,405,602,F4
214,406,634,F7
321,689,330,F6
434,1235,981,F3
893,373,834,F4
160,216,1076,F7
324,240,939,F7
502,1210,1017,F1
250,1335,1237,F3
1118,1239,890,F1
1434,1544,358,F2
261,753,212,F6
628,125,335,F5
890,910,928,F1
1315,1280,221,F2
116,1028,382,F6
230,578,243,F6
1380,272,195,F5
364,1028,246,F6
853,406,325,F5
394,418,1518,F7
739,229,735,F4
218,697,1209,F3
769,340,360,F5
1370,448,1196,F4
125,797,864,F3
178,1234,501,F3
270,435,143,N8
133,821,324,F6
1977,1123,1394,F1
440,278,357,N8
400,1323,1283,F3
417,271,1116,F7
223,1072,224,F6
416,1024,543,F3
423,145,374,N8
1175,690,327,F2
277,993,528,F3
367,315,674,F7
1545,1929,1470,F1
281,150,158,N8
853,259,290,F5
151,203,1015,F7
364,221,386,N8
201,381,348,N8
913,1274,414,F2
1354,267,317,F5
137,721,253,F6
983,238,360,F5
341,294,479,F7
161,156,245,N8
183,146,143,N8
1138,150,1190,F4
1775,869,821,F1
184,1293,261,F6
423,1096,1205,F3
1366,283,278,F5
649,100,419,F5
950,128,217,F5
732,221,383,F5
352,498,116,F6
831,306,127,F5
448,446,294,N8
1247,171,509,F4
445,292,183,N8
307,1063,329,F6
334,181,1181,F7
328,447,435,N8
937,338,324,F5
241,890,941,F3
285,313,407,N8
188,254,188,N8
1636,1685,180,F2
937,1602,346,F2
1299,227,1114,F4
123,380,729,F7
348,226,1640,F7
275,805,393,F6
1349,251,1139,F4
343,526,431,F6
257,1284,107,F6
200,438,127,N8
874,230,1400,F4
1443,1373,419,F2
542,1407,380,F2
1128,997,1398,F1
905,155,690,F4
353,1041,1326,F3
1266,159,616,F4
753,487,361,F2
371,404,1504,F7
1419,1613,1549,F1
638,356,302,F5
1200,128,805,F4
280,690,282,F6
166,320,229,N8
1407,135,371,F5
246,178,523,F7
686,210,1318,F4
327,1133,848,F3
284,139,1159,F7
347,1020,314,F6
1842,985,1678,F1
1371,298,1049,F4
202,1045,1215,F3
440,635,179,F6
810,731,152,F2
178,1128,194,F6
299,360,805,F7
207,308,144,N8
444,1204,242,F6
832,169,534,F4
109,452,235,F6
1208,718,1516,F1
364,469,571,F3
411,1349,1090,F3
1633,974,117,F2
941,1843,1825,F1
1622,1068,164,F2
185,273,188,N8
1981,1325,1825,F1
423,1278,416,F6
327,166,839,F7
101,303,930,F7
896,355,446,F5
1036,1667,283,F2
273,371,157,N8
466,385,830,F4
129,1197,482,F3
1636,632,741,F1
299,310,948,F7
1387,667,243,F2
1407,1109,967,F1
1462,456,1603,F1
421,851,420,F6
647,395,390,F5
381,107,542,F7
275,145,1194,F7
1552,968,1176,F1
303,518,867,F3
1586,1546,107,F2
389,396,334,N8
426,155,870,F7
1035,165,156,F5
220,110,435,N8
1353,114,438,F5
428,1015,1279,F3
417,967,607,F3
396,1095,892,F3
1930,1617,1709,F1
917,263,302,F5
466,363,549,F4
356,107,145,N8
181,751,187,F6
287,507,514,F3
172,143,215,N8
322,486,228,F6
629,1611,660,F1
1111,213,329,F5
1293,148,1394,F4
424,157,247,N8
412,314,804,F7
601,303,413,F5
1440,1320,419,F2
408,1263,1151,F3
956,529,171,F2
437,214,1669,F7
359,1066,298,F6
507,112,1282,F4
1234,1288,183,F2
543,1496,288,F2
271,231,162,N8
234,547,409,F6
456,1561,244,F2
342,1261,115,F6
106,256,354,N8
784,218,201,F5
402,233,1474,F7
635,1413,101,F2
313,381,525,F7
1205,1357,410,F2
312,758,266,F6
828,1000,925,F1
108,411,184,N8
135,375,321,N8
773,1463,1079,F1
1303,321,511,F4
1017,355,1005,F4
363,330,156,N8
1569,1530,339,F2
280,775,369,F6
543,338,905,F4
262,801,1084,F3
202,931,481,F3
936,1396,217,F2
424,620,239,F6
339,264,373,N8
1677,590,1542,F1
316,289,133,N8
930,184,384,F5
1365,390,352,F5
1368,865,981,F1
1640,1774,1716,F1
954,1128,272,F2
832,238,669,F4
1247,842,879,F1
159,252,995,F7
210,721,137,F6
1266,339,446,F5
406,169,1477,F7
431,1097,143,F6
164,369,232,N8
1399,149,587,F4
607,1527,1338,F1
471,134,728,F4
183,867,178,F6
190,327,369,N8
290,1387,588,F3
902,1018,122,F2
336,1086,839,F3
639,120,220,F5
871,492,1571,F1
276,607,642,F3
1466,885,148,F2
134,137,1367,F7
991,1567,1741,F1
1973,1741,752,F1
777,431,441,F5
841,439,643,F4
163,1025,1028,F3
241,1295,201,F6
360,354,1386,F7
735,1816,1561,F1
167,1017,774,F3
196,1366,707,F3
1123,374,439,F5
261,1100,655,F3
171,166,840,F7
307,495,1010,F3
1206,1674,1482,F1
946,338,1381,F4
1215,220,721,F4
176,1265,1138,F3
432,355,1549,F7
1665,650,878,F1
210,1116,429,F6
531,336,747,F4
482,1050,970,F1
609,363,202,F5
1431,224,140,F5
1558,1031,438,F2
451,376,362,F5
1163,436,144,F5
1982,937,958,F1
101,1174,462,F3
400,918,814,F3
690,879,1299,F1
631,201,822,F4
1032,336,263,F5
246,291,403,N8
149,681,880,F3
1144,875,407,F2
948,362,984,F4
191,749,231,F6
826,160,1151,F4
1187,865,185,F2
1179,577,408,F2
340,174,418,N8
252,355,1512,F7
238,833,476,F3
869,205,1125,F4
1232,635,1918,F1
207,342,148,N8
248,290,239,N8
1281,1364,1007,F1
1164,228,415,F5
905,346,193,F5
1348,124,654,F4
121,395,1324,F7
403,333,896,F7
266,285,287,N8
359,1085,327,F6
1235,693,819,F1
720,1140,412,F2
353,676,942,F3
1638,820,512,F1
377,346,910,F7
293,700,225,F6
153,536,326,F6
775,248,565,F4
1261,879,113,F2
1006,1261,357,F2
1172,401,1368,F4
106,630,447,F6
389,1074,219,F6
796,855,1681,F1
328,557,221,F6
443,694,300,F6
457,988,149,F2
448,269,649,F7
409,253,1068,F7
200,997,1357,F3
1103,345,193,F5
197,1181,387,F6
250,213,328,N8
1098,317,171,F5
324,252,1444,F7
380,408,170,N8
969,423,111,F5
828,325,473,F4
1028,240,285,F5
1456,408,426,F5
252,1378,1368,F3
154,449,1052,F7
873,391,679,F4
142,309,247,N8
1544,1369,1575,F1
859,154,271,F5
976,1384,1670,F1
227,246,1252,F7
801,1539,336,F2
218,354,213,N8
250,298,332,N8
1115,124,369,F5
227,850,592,F3
657,869,148,F2
294,1346,897,F3
131,1225,119,F6
1007,1419,1755,F1
192,374,1026,F7
1410,754,235,F2
1325,360,196,F5
283,423,291,N8
778,280,1077,F4
109,385,389,N8
352,312,351,N8
422,267,294,N8
264,517,438,F6
1102,257,318,F5
1081,215,417,F5
1618,1790,756,F1
404,174,271,N8
341,735,283,F6
1109,426,1366,F4
797,356,234,F5
323,659,414,F6
1034,196,160,F5
156,201,212,N8
277,226,1263,F7
304,1164,1256,F3
476,152,816,F4
446,611,833,F3
162,523,319,F6
806,333,585,F4
145,200,506,F7
121,541,389,F6
548,126,816,F4
1880,1019,848,F1
874,1451,1921,F1
261,329,215,N8
276,673,960,F3
300,413,118,N8
100,1086,297,F6
1354,1370,311,F2
304,669,218,F6
827,488,495,F1
1060,1019,914,F1
170,315,1374,F7
246,1211,371,F6
319,122,1537,F7
148,330,1425,F7
609,377,553,F4
302,302,780,F7
187,610,1291,F3
607,260,1383,F4
267,102,1299,F7
1531,1484,1841,F1
1136,1428,246,F2
1530,785,478,F1
327,294,375,N8
103,964,592,F3
241,486,120,F6
1273,1935,1686,F1
666,259,411,F5
1399,161,615,F4
1462,149,441,F5
309,311,1591,F7
524,210,250,F5
374,199,851,F7
313,322,1454,F7
347,274,337,N8
889,1932,1839,F1
325,173,434,N8
361,397,1312,F7
162,366,911,F7
165,334,913,F7
1567,716,432,F2
536,578,386,F2
1309,243,728,F4
1413,390,270,F5
918,390,438,F5
786,260,388,F5
304,266,152,N8
1359,1237,350,F2
318,285,218,N8
1457,703,926,F1
211,1281,806,F3
241,1050,1320,F3
952,205,245,F5
1308,427,342,F5
249,1025,907,F3
1362,1366,410,F2
435,547,1235,F3
252,488,842,F3
802,323,886,F4
388,1203,1014,F3
372,609,152,F6
1392,828,279,F2
746,1141,272,F2
299,368,224,N8
1383,381,508,F4
135,227,325,N8
345,171,776,F7
1067,1687,402,F2
113,169,392,N8
1300,244,839,F4
866,209,684,F4
439,645,711,F3
338,367,171,N8
324,355,166,N8
188,1366,1027,F3
401,288,263,N8
397,213,271,N8
308,241,395,N8
998,102,244,F5
499,426,338,F5
1084,231,1080,F4
434,555,163,F6
1400,389,1053,F4
1034,1300,1707,F1
675,108,900,F4
446,822,410,F6
514,151,1198,F4
797,1810,1288,F1
1216,177,353,F5
973,698,1217,F1
661,251,346,F5
199,196,820,F7
190,101,357,N8
307,1212,367,F6
582,1445,412,F2
300,1149,842,F3
299,1173,331,F6
1494,103,424,F5
1148,1615,137,F2
232,365,481,F7
311,128,660,F7
606,1249,1836,F1
943,1108,344,F2
112,1051,405,F6
966,1385,211,F2
516,299,318,F5
261,149,797,F7
399,439,1257,F7
1598,1460,449,F2
327,256,922,F7
1578,1605,325,F2
1045,153,153,F5
121,1066,364,F6
1488,1665,381,F2
1601,1638,319,F2
433,184,143,N8
308,428,313,N8
146,1188,240,F6
101,885,401,F6
127,1398,783,F3
1188,828,287,F2
1171,254,227,F5
1302,867,326,F2
1968,741,571,F1
100,269,263,N8
801,163,306,F5
1066,208,218,F5
899,545,237,F2
575,305,374,F5
1268,1369,1534,F1
1182,238,1217,F4
1780,517,722,F1
502,1243,435,F2
1648,923,1557,F1
676,1818,474,F1
510,145,1017,F4
546,1466,1435,F1
668,425,415,F5
210,105,361,N8
385,1235,571,F3
961,418,732,F4
761,1620,305,F2
108,200,1519,F7
356,364,1219,F7
345,1375,711,F3
124,981,609,F3
376,199,1132,F7
976,1233,213,F2
1384,916,374,F2
682,263,812,F4
1394,360,281,F5
241,1034,122,F6
513,268,678,F4
463,793,762,F1
154,360,1076,F7
330,699,954,F3
936,1487,235,F2
339,809,182,F6
139,1250,1103,F3
555,132,249,F5
455,1404,224,F2
132,518,1313,F3
1522,533,186,F2
1114,1414,1087,F1
1627,1517,721,F1
360,814,237,F6
778,1951,1165,F1
1131,154,114,F5
449,420,941,F7
137,1132,217,F6
519,417,237,F5
208,435,133,N8
1737,1002,908,F1
965,142,133,F5
277,1144,215,F6
282,680,521,F3
118,147,291,N8
1320,126,716,F4
549,390,895,F4
229,1291,1240,F3
712,396,122,F5
218,201,1218,F7
1975,1935,1521,F1
401,119,1679,F7
1062,512,886,F1
218,1392,386,F6
1439,119,123,F5
1329,1549,197,F2
264,168,485,F7
281,861,846,F3
1127,858,1717,F1
883,467,1887,F1
326,386,1092,F7
1618,840,546,F1
364,325,1001,F7
1552,541,430,F2
1124,132,284,F5
1312,1643,283,F2
231,1187,259,F6
831,394,981,F4
137,374,592,F7
530,552,1499,F1
318,933,677,F3
244,291,167,N8
1278,1530,399,F2
1659,903,419,F2
131,485,329,F6
325,168,262,N8
408,728,188,F6
1185,152,433,F5
1976,1446,1039,F1
251,895,734,F3
1694,1203,1453,F1
463,367,698,F4
125,635,775,F3
146,197,284,N8
1467,466,1420,F1
1147,1792,571,F1
1135,219,239,F5
729,102,625,F4
314,226,1602,F7
492,1717,1039,F1
195,449,1135,F7
580,269,217,F5
170,363,697,F7
334,958,160,F6
310,329,984,F7
420,1217,285,F6
1844,534,865,F1
319,542,132,F6
1263,105,316,F5
415,543,1013,F3
821,367,1393,F4
1053,1556,313,F2
353,1137,583,F3
1178,929,1668,F1
922,117,965,F4
1531,1433,125,F2
497,312,323,F5
222,418,1043,F7
209,427,355,N8
185,126,386,N8
216,190,243,N8
435,126,824,F7
1508,836,415,F2
314,1281,123,F6
616,399,412,F5
475,279,176,F5
629,537,258,F2
663,380,240,F5
191,1143,304,F6
186,238,730,F7
195,574,109,F6
267,1010,407,F6
660,906,727,F1
176,332,186,N8
882,1728,978,F1
769,520,133,F2
282,194,942,F7
758,279,267,F5
286,262,312,N8
1131,1043,296,F2
1603,561,770,F1
174,916,797,F3
612,946,860,F1
1722,1241,1940,F1
804,292,224,F5
134,1399,765,F3
211,527,795,F3
473,224,351,F5
637,1785,1925,F1
1170,178,563,F4
1735,1461,1102,F1
1417,768,1354,F1
100,1353,644,F3
231,349,218,N8
366,180,194,N8
166,1331,610,F3
1010,151,213,F5
446,408,1290,F7
593,111,1367,F4
362,418,403,N8
572,361,982,F4
394,418,1570,F7
414,1057,140,F6
1190,1221,1005,F1
1089,264,671,F4
1638,1119,1606,F1
284,417,382,N8
874,1850,1068,F1
911,676,143,F2
622,1019,422,F2
168,843,183,F6
365,1348,494,F3
1489,117,219,F5
710,811,1387,F1
344,238,1237,F7
1224,403,1316,F4
238,690,213,F6
740,1272,377,F2
401,1165,339,F6
402,198,358,N8
1207,369,1175,F4
232,242,1066,F7
179,399,843,F7
489,355,624,F4
344,505,963,F3
1461,301,288,F5
815,207,890,F4
186,258,442,N8
344,228,1058,F7
770,110,237,F5
733,1611,1805,F1
356,270,335,N8
1078,1671,192,F2
1289,368,1216,F4
1410,291,170,F5
402,414,402,N8
353,1037,1250,F3
505,253,319,F5
143,1164,273,F6
1299,143,739,F4
260,317,113,N8
517,1537,1210,F1
448,1308,604,F3
340,394,1223,F7
456,283,1173,F4
664,704,503,F1
338,1201,653,F3
862,1413,652,F1
1079,1158,304,F2
654,635,307,F2
1717,588,690,F1
1135,109,1190,F4
344,420,293,N8
1101,281,1034,F4
127,906,1082,F3
1312,517,337,F2
167,237,281,N8
794,1222,199,F2
656,614,1775,F1
1920,1153,643,F1
979,521,1726,F1
1239,929,292,F2
1535,746,372,F2
191,572,144,F6
1629,1641,1445,F1
1255,1592,258,F2
532,345,1171,F4
1331,1989,587,F1
1482,1132,245,F2
139,187,571,F7
282,148,500,F7
1197,1433,436,F2
167,925,1298,F3
102,474,157,F6
1275,136,108,F5
1594,1212,352,F2
241,240,208,N8
1350,122,434,F5
1064,271,404,F5
336,362,414,N8
1051,379,348,F5
133,163,165,N8
190,355,1096,F7
1536,1569,668,F1
413,1221,1225,F3
877,136,1191,F4
1033,157,290,F5
344,685,291,F6
621,262,261,F5
229,1343,610,F3
431,942,233,F6
724,730,1648,F1
1163,1591,387,F2
495,1940,888,F1
1347,285,753,F4
1386,229,848,F4
1954,1084,730,F1
427,409,668,F7
419,454,181,F6
291,394,154,N8
1725,884,1890,F1
306,486,944,F3
1271,266,100,F5
277,1045,931,F3
377,117,266,N8
168,1208,294,F6
407,1092,1193,F3
869,275,532,F4
1265,391,337,F5
1173,147,974,F4
1374,269,287,F5
389,1174,807,F3
1478,1209,198,F2
340,563,1375,F3
682,321,392,F5
215,665,293,F6
1703,1899,1326,F1
267,288,281,N8
167,1055,175,F6
1673,481,423,F2
616,191,879,F4
244,367,1436,F7
1378,423,921,F4
426,408,1653,F7
1189,375,482,F4
1030,1559,1512,F1
1081,253,159,F5
156,363,1362,F7
1037,214,302,F5
106,508,793,F3
1215,280,760,F4
409,164,355,N8
170,155,368,N8
738,284,927,F4
1477,1116,412,F2
285,545,177,F6
280,757,324,F6
767,542,393,F2
1168,347,1221,F4
859,332,411,F5
122,543,406,F6
899,111,1227,F4
362,430,336,N8
388,744,924,F3
1354,357,337,F5
656,235,1366,F4
1123,308,143,F5
290,152,259,N8
124,187,1283,F7
394,254,525,F7
301,518,245,F6
528,1014,782,F1
633,277,381,F5
367,156,930,F7
569,1008,192,F2
418,1235,494,F3
1427,845,260,F2
403,507,277,F6
707,826,274,F2
1117,1563,370,F2
1210,225,372,F5
227,122,1359,F7
228,642,1333,F3
256,165,1189,F7
224,541,1390,F3
231,236,405,N8
1085,967,344,F2
1020,723,299,F2
220,185,251,N8
122,329,174,N8
1617,1621,259,F2
896,430,298,F5
597,439,915,F4
234,189,1272,F7
344,154,348,N8
211,1260,306,F6
104,260,550,F7
1087,256,1152,F4
612,847,280,F2
316,570,266,F6
119,440,364,N8
178,312,1530,F7
959,701,225,F2
1231,890,209,F2
462,197,838,F4
129,374,1583,F7
1392,420,1380,F4
350,127,344,N8
804,984,630,F1
253,157,423,N8
323,201,1575,F7
502,1256,933,F1
1661,703,929,F1
358,350,1634,F7
798,105,845,F4
1257,249,445,F5
1258,443,239,F5
129,625,848,F3
224,761,316,F6
358,951,224,F6
379,569,155,F6
170,204,344,N8
303,1250,1193,F3
1218,1120,295,F2
279,756,261,F6
259,386,210,N8
497,1062,1394,F1
295,934,401,F6
1547,731,138,F2
1402,572,381,F2
437,1308,1331,F3
1515,1569,413,F2
300,808,1279,F3
1476,261,331,F5
312,1294,249,F6
252,412,334,N8
293,167,956,F7
1698,1540,635,F1
1267,304,845,F4
1345,1814,1860,F1
902,351,1124,F4
392,216,1649,F7
140,314,1643,F7
1345,347,665,F4
1588,508,1976,F1
1725,1910,1765,F1
808,504,236,F2
328,424,304,N8
1129,237,568,F4
214,194,445,N8
372,425,169,N8
1915,546,1484,F1
317,216,259,N8
363,699,1275,F3
281,984,1387,F3
1251,160,828,F4
653,418,202,F5
300,262,611,F7
649,337,386,F5
484,1152,1712,F1
410,236,1344,F7
442,362,381,N8
268,518,362,F6
1219,256,345,F5
269,280,1593,F7
1273,378,1096,F4
320,235,363,N8
236,1244,223,F6
959,409,1230,F4
1237,390,381,F5
232,339,319,N8
637,202,390,F5
133,510,357,F6
429,279,125,N8
632,179,212,F5
146,1015,232,F6
350,384,1445,F7
122,1056,1379,F3
175,600,923,F3
846,333,810,F4
296,239,159,N8
427,278,635,F7
614,351,271,F5
193,241,312,N8
591,690,162,F2
606,376,204,F5
155,193,309,N8
1614,538,146,F2
1684,1146,214,F2
1179,747,439,F2
230,736,370,F6
150,1236,210,F6
211,1382,656,F3
363,342,420,N8
330,1344,174,F6
292,448,1654,F7
372,110,149,N8
175,1129,647,F3
261,1137,218,F6
162,514,1077,F3
190,842,314,F6
651,426,341,F5
507,465,1334,F1
441,320,1678,F7
547,206,426,F5
251,816,352,F6
267,336,225,N8
468,929,115,F2
310,217,1269,F7
1427,1624,430,F2
456,1307,1984,F1
253,297,481,F7
521,884,170,F2
397,803,558,F3
364,408,1246,F7
368,142,395,N8
277,467,114,F6
852,299,354,F5
795,239,1068,F4
1111,1043,1435,F1
304,228,326,N8
233,827,840,F3
445,1277,143,F6
1302,404,1216,F4
810,208,970,F4
411,310,535,F7
597,739,232,F2
1367,243,410,F5
557,275,280,F5
1487,355,243,F5
1343,130,1027,F4
395,724,129,F6
453,444,1272,F4
267,1284,355,F6
507,1595,436,F2
732,108,1063,F4
1496,708,1412,F1
415,1171,408,F6
1241,1315,281,F2
443,891,165,F6
871,603,196,F2
504,129,403,F5
1400,226,411,F5
248,198,191,N8
173,236,576,F7
1058,127,563,F4
330,172,569,F7
633,178,966,F4
147,378,166,N8
511,466,646,F1
188,1293,278,F6
131,1190,116,F6
325,954,101,F6
293,1200,615,F3
180,151,1228,F7
228,1156,678,F3
151,1147,199,F6
1291,184,358,F5
645,636,426,F2
1220,1597,577,F1
723,985,164,F2
408,914,1061,F3
1367,188,396,F5
1271,436,1353,F4
406,399,405,N8
127,306,969,F7
959,134,748,F4
140,287,1398,F7
1349,253,628,F4
105,312,230,N8
137,428,878,F7
197,428,1352,F7
331,462,350,F6
126,591,269,F6
558,375,421,F5
1387,249,1284,F4
269,440,168,N8
795,217,108,F5
726,522,1388,F1
298,1004,867,F3
387,159,1466,F7
385,988,1166,F3
282,274,1297,F7
145,583,166,F6
103,876,170,F6
374,830,621,F3
1144,316,376,F5
154,802,321,F6
511,396,681,F4
368,187,739,F7
265,1228,1267,F3
262,1087,249,F6
347,116,380,N8
276,1084,746,F3
1087,211,1010,F4
727,328,134,F5
597,1070,1490,F1
431,1255,908,F3
1192,156,233,F5
662,1398,966,F1
214,840,344,F6
949,1519,238,F2
174,153,236,N8
409,454,432,F6
781,416,1239,F4
1038,583,278,F2
1272,524,131,F2
1295,102,392,F5
1269,270,418,F5
190,750,402,F6
1603,1244,290,F2
1231,542,226,F2
420,319,141,N8
423,847,139,F6
465,1961,1360,F1
312,712,220,F6
205,288,1526,F7
1967,1707,896,F1
358,405,311,N8
137,413,261,N8
269,788,522,F3
161,359,104,N8
959,391,1279,F4
284,193,574,F7
260,266,191,N8
1137,200,439,F5
294,275,1640,F7
666,269,408,F5
433,502,1384,F3
994,686,218,F2
201,751,1318,F3
682,389,193,F5
154,1244,354,F6
214,193,267,N8
381,289,1680,F7
360,1021,199,F6
201,770,510,F3
333,215,254,N8
606,1229,436,F2
108,668,399,F6
152,490,1016,F3
295,432,338,N8
961,427,206,F5
262,706,569,F3
911,292,1262,F4
278,662,459,F3
1093,163,1184,F4
230,1325,1061,F3
210,1367,1073,F3
671,427,1187,F4
404,104,874,F7
431,361,380,N8
136,982,303,F6
1443,138,327,F5
1390,144,198,F5
388,179,223,N8
390,1047,866,F3
188,762,613,F3
1360,373,644,F4
355,241,1095,F7
583,1512,354,F2
907,1040,600,F1
429,1126,1058,F3
1673,1665,266,F2
1129,299,326,F5
123,561,1025,F3
382,161,1612,F7
822,108,210,F5
228,1206,315,F6
406,113,348,N8
559,403,723,F4
1262,349,667,F4
805,729,574,F1
1134,599,961,F1
1006,334,1321,F4
131,507,433,F6
320,169,393,N8
442,345,889,F7
101,630,298,F6
540,152,426,F5
1720,1298,746,F1
479,714,327,F2
262,558,1145,F3
1286,409,1248,F4
214,451,109,F6
1120,396,849,F4
440,1327,631,F3
399,389,956,F7
390,1255,1224,F3
246,1091,230,F6
1745,1370,1671,F1
657,144,902,F4
316,298,1636,F7
729,357,1158,F4
1454,996,331,F2
458,1163,251,F2
118,1169,577,F3
314,680,1269,F3
735,1348,307,F2
167,822,216,F6
400,137,238,N8
355,256,573,F7
1111,630,988,F1
1041,331,172,F5
1070,140,1246,F4
381,637,548,F3
589,341,415,F5
1251,1397,272,F2
1182,1063,1410,F1
1085,329,100,F5
728,826,1356,F1
842,276,205,F5
308,586,1027,F3
139,830,293,F6
163,504,649,F3
190,886,448,F6
421,339,618,F7
1321,444,1391,F4
650,754,389,F2
232,437,429,N8
170,649,295,F6
155,215,811,F7
113,537,1250,F3
331,650,200,F6
775,850,1960,F1
